//____convert_Xsec_to_root_Graph
//thetaCM___d(thetaCM)___Xsec___d(Xsec)
#===========================_0.000_'#'_is_indicator_for_new_energy_and_separator
18.82        3.18        0.90      0.13
25.40        2.27        1.55      0.18
30.51        1.89        2.10      0.28
34.86        1.66        2.58      0.29
38.77        1.52        2.25      0.30
42.35        1.40        2.17      0.36
#===========================_1.197 
19.85        3.09        2.38      0.23
26.40        2.27        3.00      0.30
31.49        1.90        3.67      0.32
35.90        1.69        4.65      0.36
39.86        1.54        4.39      0.43
#===========================_1.600
24.67        2.46        0.43      0.22
30.14        2.01        0.71      0.24
34.77        1.76        1.88      0.30
38.89        1.60        1.49      0.36
#===========================_1.810
22.41        1.30        1.78      0.43
24.99        1.29        1.54      0.39
29.39        2.08        3.33      0.34
34.15        1.80        3.76      0.38
38.36        1.63        5.25      0.47
#===========================_1.957
22.87        2.70        1.80      0.31
28.78        2.14        2.26      0.31
33.65        1.84        3.55      0.37
37.93        1.65        2.28      0.41
#===========================_2.332
19.57        1.50        2.37      0.31
22.56        1.50        2.56      0.30
27.46        2.26        4.03      0.33
32.58        1.92        6.43      0.40
37.03        1.71        7.63      0.50
#===========================_2.530
19.73        3.25        0.54      0.24
26.55        2.36        1.31      0.26
31.86        1.98        3.04      0.33
36.42        1.75        2.59      0.39
