 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_in_CD2.txt

 Ion = Fluorine [9] , Mass = 19 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.989E+01  1.701E+02     400 A       116 A        87 A   
  11.00 keV   7.330E+01  1.673E+02     436 A       124 A        93 A   
  12.00 keV   7.656E+01  1.646E+02     473 A       133 A       100 A   
  13.00 keV   7.968E+01  1.618E+02     509 A       142 A       106 A   
  14.00 keV   8.269E+01  1.592E+02     546 A       150 A       113 A   
  15.00 keV   8.559E+01  1.566E+02     582 A       158 A       119 A   
  16.00 keV   8.840E+01  1.540E+02     619 A       166 A       125 A   
  17.00 keV   9.112E+01  1.516E+02     655 A       174 A       132 A   
  18.00 keV   9.376E+01  1.492E+02     692 A       182 A       138 A   
  20.00 keV   9.884E+01  1.447E+02     765 A       198 A       150 A   
  22.50 keV   1.048E+02  1.394E+02     857 A       217 A       165 A   
  25.00 keV   1.105E+02  1.346E+02     949 A       235 A       180 A   
  27.50 keV   1.159E+02  1.301E+02    1041 A       252 A       195 A   
  30.00 keV   1.210E+02  1.260E+02    1133 A       269 A       210 A   
  32.50 keV   1.260E+02  1.221E+02    1225 A       286 A       224 A   
  35.00 keV   1.307E+02  1.185E+02    1316 A       302 A       238 A   
  37.50 keV   1.353E+02  1.152E+02    1408 A       317 A       252 A   
  40.00 keV   1.461E+02  1.121E+02    1498 A       332 A       266 A   
  45.00 keV   1.620E+02  1.064E+02    1673 A       359 A       293 A   
