 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15C_in_CD2.txt

 Ion = Carbon [6] , Mass = 15.011 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.815E+01  8.545E+01     595 A       172 A       129 A   
  11.00 keV   7.148E+01  8.288E+01     651 A       186 A       139 A   
  12.00 keV   7.466E+01  8.048E+01     708 A       198 A       149 A   
  13.00 keV   7.771E+01  7.824E+01     765 A       211 A       159 A   
  14.00 keV   8.064E+01  7.613E+01     821 A       223 A       169 A   
  15.00 keV   8.347E+01  7.416E+01     878 A       234 A       179 A   
  16.00 keV   8.621E+01  7.230E+01     934 A       246 A       189 A   
  17.00 keV   8.886E+01  7.055E+01     990 A       257 A       199 A   
  18.00 keV   9.144E+01  6.890E+01    1046 A       268 A       208 A   
  20.00 keV   9.638E+01  6.585E+01    1158 A       289 A       227 A   
  22.50 keV   1.022E+02  6.247E+01    1296 A       313 A       250 A   
  25.00 keV   1.078E+02  5.947E+01    1432 A       336 A       272 A   
  27.50 keV   1.130E+02  5.679E+01    1568 A       358 A       294 A   
  30.00 keV   1.180E+02  5.439E+01    1701 A       379 A       315 A   
  32.50 keV   1.220E+02  5.221E+01    1834 A       399 A       335 A   
  35.00 keV   1.258E+02  5.023E+01    1966 A       418 A       355 A   
  37.50 keV   1.293E+02  4.842E+01    2097 A       436 A       374 A   
  40.00 keV   1.326E+02  4.676E+01    2226 A       453 A       392 A   
  45.00 keV   1.388E+02  4.381E+01    2484 A       486 A       428 A   
