 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 07, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_in_CD2.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.935E+01  1.029E+02     510 A       151 A       112 A   
  11.00 keV   8.322E+01  1.001E+02     558 A       162 A       121 A   
  12.00 keV   8.692E+01  9.750E+01     605 A       173 A       130 A   
  13.00 keV   9.047E+01  9.503E+01     653 A       183 A       139 A   
  14.00 keV   9.389E+01  9.270E+01     700 A       194 A       147 A   
  15.00 keV   9.718E+01  9.049E+01     747 A       204 A       155 A   
  16.00 keV   1.004E+02  8.841E+01     794 A       214 A       164 A   
  17.00 keV   1.035E+02  8.643E+01     841 A       223 A       172 A   
  18.00 keV   1.065E+02  8.456E+01     888 A       233 A       180 A   
  20.00 keV   1.122E+02  8.108E+01     981 A       251 A       196 A   
  22.50 keV   1.190E+02  7.718E+01    1097 A       272 A       215 A   
  25.00 keV   1.255E+02  7.370E+01    1211 A       293 A       234 A   
  27.50 keV   1.316E+02  7.058E+01    1324 A       312 A       252 A   
  30.00 keV   1.374E+02  6.775E+01    1436 A       330 A       270 A   
  32.50 keV   1.414E+02  6.518E+01    1547 A       347 A       287 A   
  35.00 keV   1.455E+02  6.283E+01    1658 A       364 A       304 A   
  37.50 keV   1.497E+02  6.067E+01    1768 A       380 A       320 A   
  40.00 keV   1.539E+02  5.868E+01    1877 A       395 A       336 A   
  45.00 keV   1.617E+02  5.513E+01    2093 A       425 A       367 A   
