 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\16N_in_CD2.txt

 Ion = Nitrogen [7] , Mass = 16.0061 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.682E+01  1.064E+02     510 A       148 A       110 A   
  11.00 keV   8.057E+01  1.036E+02     558 A       159 A       119 A   
  12.00 keV   8.415E+01  1.010E+02     605 A       170 A       128 A   
  13.00 keV   8.758E+01  9.852E+01     653 A       180 A       136 A   
  14.00 keV   9.089E+01  9.616E+01     700 A       191 A       145 A   
  15.00 keV   9.408E+01  9.393E+01     747 A       201 A       153 A   
  16.00 keV   9.717E+01  9.182E+01     794 A       210 A       161 A   
  17.00 keV   1.002E+02  8.981E+01     841 A       220 A       169 A   
  18.00 keV   1.031E+02  8.790E+01     888 A       229 A       177 A   
  20.00 keV   1.086E+02  8.436E+01     982 A       247 A       193 A   
  22.50 keV   1.152E+02  8.037E+01    1098 A       269 A       212 A   
  25.00 keV   1.215E+02  7.681E+01    1213 A       289 A       230 A   
  27.50 keV   1.274E+02  7.361E+01    1327 A       309 A       249 A   
  30.00 keV   1.331E+02  7.070E+01    1440 A       327 A       266 A   
  32.50 keV   1.381E+02  6.806E+01    1551 A       344 A       283 A   
  35.00 keV   1.419E+02  6.564E+01    1663 A       361 A       300 A   
  37.50 keV   1.458E+02  6.341E+01    1773 A       377 A       316 A   
  40.00 keV   1.497E+02  6.136E+01    1883 A       392 A       332 A   
  45.00 keV   1.573E+02  5.769E+01    2102 A       422 A       363 A   
