 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CD2_2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.655E+01  7.661E-01    2244 A       466 A       508 A   
  11.00 keV   5.898E+01  7.152E-01    2405 A       477 A       526 A   
  12.00 keV   6.125E+01  6.713E-01    2560 A       487 A       543 A   
  13.00 keV   6.338E+01  6.330E-01    2711 A       496 A       558 A   
  14.00 keV   6.539E+01  5.993E-01    2858 A       504 A       572 A   
  15.00 keV   6.727E+01  5.694E-01    3001 A       512 A       586 A   
  16.00 keV   6.905E+01  5.426E-01    3140 A       519 A       598 A   
  17.00 keV   7.073E+01  5.185E-01    3277 A       525 A       610 A   
  18.00 keV   7.232E+01  4.966E-01    3411 A       531 A       621 A   
  20.00 keV   7.523E+01  4.585E-01    3671 A       543 A       642 A   
  22.50 keV   7.845E+01  4.191E-01    3985 A       556 A       665 A   
  25.00 keV   8.126E+01  3.864E-01    4288 A       567 A       686 A   
  27.50 keV   8.372E+01  3.589E-01    4582 A       577 A       706 A   
  30.00 keV   8.588E+01  3.354E-01    4870 A       586 A       723 A   
  32.50 keV   8.776E+01  3.150E-01    5151 A       595 A       740 A   
  35.00 keV   8.941E+01  2.972E-01    5427 A       603 A       755 A   
  37.50 keV   9.085E+01  2.814E-01    5699 A       610 A       770 A   
  40.00 keV   9.210E+01  2.674E-01    5967 A       617 A       784 A   
