 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 05, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CH2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.22    004.79   
      C      6    011.11    028.54   
      H      1    044.44    009.58   
      C      6    022.22    057.09   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.135E+01  9.384E-01    2058 A       422 A       461 A   
  11.00 keV   6.398E+01  8.757E-01    2206 A       432 A       478 A   
  12.00 keV   6.645E+01  8.217E-01    2349 A       441 A       493 A   
  13.00 keV   6.877E+01  7.746E-01    2488 A       449 A       507 A   
  14.00 keV   7.094E+01  7.332E-01    2623 A       457 A       521 A   
  15.00 keV   7.299E+01  6.964E-01    2755 A       464 A       533 A   
  16.00 keV   7.492E+01  6.635E-01    2883 A       470 A       545 A   
  17.00 keV   7.674E+01  6.338E-01    3009 A       476 A       555 A   
  18.00 keV   7.846E+01  6.070E-01    3132 A       482 A       566 A   
  20.00 keV   8.162E+01  5.602E-01    3372 A       493 A       585 A   
  22.50 keV   8.511E+01  5.118E-01    3661 A       505 A       607 A   
  25.00 keV   8.816E+01  4.718E-01    3940 A       515 A       626 A   
  27.50 keV   9.083E+01  4.381E-01    4212 A       525 A       644 A   
  30.00 keV   9.317E+01  4.093E-01    4476 A       533 A       660 A   
  32.50 keV   9.521E+01  3.843E-01    4735 A       541 A       675 A   
  35.00 keV   9.700E+01  3.625E-01    4990 A       548 A       690 A   
  37.50 keV   9.856E+01  3.432E-01    5240 A       555 A       703 A   
  40.00 keV   9.992E+01  3.261E-01    5487 A       561 A       716 A   
