 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.125E+01  1.447E+00    2809 A       614 A       655 A   
  11.00 keV   4.314E+01  1.352E+00    3022 A       632 A       683 A   
  12.00 keV   4.493E+01  1.271E+00    3228 A       649 A       709 A   
  13.00 keV   4.663E+01  1.199E+00    3427 A       664 A       733 A   
  14.00 keV   4.826E+01  1.137E+00    3621 A       677 A       755 A   
  15.00 keV   4.982E+01  1.081E+00    3810 A       689 A       776 A   
  16.00 keV   5.131E+01  1.031E+00    3994 A       701 A       795 A   
  17.00 keV   5.275E+01  9.853E-01    4173 A       711 A       813 A   
  18.00 keV   5.413E+01  9.444E-01    4349 A       721 A       830 A   
  20.00 keV   5.675E+01  8.728E-01    4689 A       740 A       862 A   
  22.50 keV   5.977E+01  7.986E-01    5097 A       760 A       898 A   
  25.00 keV   6.255E+01  7.371E-01    5487 A       778 A       929 A   
  27.50 keV   6.511E+01  6.852E-01    5863 A       793 A       958 A   
  30.00 keV   6.749E+01  6.408E-01    6226 A       807 A       984 A   
  32.50 keV   6.970E+01  6.022E-01    6578 A       820 A      1008 A   
  35.00 keV   7.176E+01  5.685E-01    6921 A       831 A      1030 A   
  37.50 keV   7.367E+01  5.386E-01    7255 A       842 A      1051 A   
  40.00 keV   7.545E+01  5.120E-01    7581 A       851 A      1070 A   
