 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 3.015 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.398E+01  2.093E+00    3155 A       698 A       731 A   
  11.00 keV   3.555E+01  1.958E+00    3405 A       722 A       767 A   
  12.00 keV   3.704E+01  1.842E+00    3648 A       744 A       800 A   
  13.00 keV   3.847E+01  1.740E+00    3884 A       764 A       830 A   
  14.00 keV   3.984E+01  1.650E+00    4113 A       783 A       859 A   
  15.00 keV   4.115E+01  1.570E+00    4337 A       799 A       885 A   
  16.00 keV   4.242E+01  1.498E+00    4555 A       815 A       910 A   
  17.00 keV   4.364E+01  1.433E+00    4767 A       829 A       934 A   
  18.00 keV   4.483E+01  1.374E+00    4976 A       842 A       956 A   
  20.00 keV   4.708E+01  1.271E+00    5379 A       867 A       998 A   
  22.50 keV   4.971E+01  1.164E+00    5862 A       895 A      1044 A   
  25.00 keV   5.216E+01  1.075E+00    6325 A       919 A      1085 A   
  27.50 keV   5.446E+01  1.000E+00    6769 A       940 A      1122 A   
  30.00 keV   5.662E+01  9.360E-01    7198 A       958 A      1156 A   
  32.50 keV   5.866E+01  8.802E-01    7613 A       975 A      1188 A   
  35.00 keV   6.059E+01  8.313E-01    8016 A       991 A      1216 A   
  37.50 keV   6.241E+01  7.880E-01    8408 A      1005 A      1243 A   
  40.00 keV   6.415E+01  7.494E-01    8789 A      1017 A      1268 A   
