 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_in_CD2.txt

 Ion = Helium [2] , Mass = 3.016 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.841E+01  5.337E+00    1877 A       556 A       527 A   
  11.00 keV   5.083E+01  5.027E+00    2036 A       581 A       557 A   
  12.00 keV   5.315E+01  4.756E+00    2190 A       603 A       586 A   
  13.00 keV   5.538E+01  4.516E+00    2340 A       624 A       613 A   
  14.00 keV   5.752E+01  4.303E+00    2487 A       642 A       638 A   
  15.00 keV   5.958E+01  4.111E+00    2630 A       660 A       661 A   
  16.00 keV   6.157E+01  3.938E+00    2769 A       676 A       684 A   
  17.00 keV   6.350E+01  3.781E+00    2906 A       691 A       705 A   
  18.00 keV   6.536E+01  3.638E+00    3040 A       705 A       725 A   
  20.00 keV   6.891E+01  3.385E+00    3300 A       731 A       762 A   
  22.50 keV   7.305E+01  3.120E+00    3611 A       760 A       805 A   
  25.00 keV   7.689E+01  2.897E+00    3910 A       785 A       843 A   
  27.50 keV   8.045E+01  2.708E+00    4198 A       807 A       877 A   
  30.00 keV   8.377E+01  2.544E+00    4476 A       827 A       909 A   
  32.50 keV   8.687E+01  2.402E+00    4746 A       845 A       939 A   
  35.00 keV   8.978E+01  2.276E+00    5008 A       861 A       966 A   
  37.50 keV   9.252E+01  2.164E+00    5264 A       876 A       991 A   
  40.00 keV   9.514E+01  2.063E+00    5513 A       890 A      1015 A   
  45.00 keV   1.001E+02  1.891E+00    5996 A       916 A      1059 A   
