# KE:   0.23 MeV, L:  2 
# V0: -40.51 MeV, R0:   7.56 fm, a0:   0.71 fm
# start: 0.00010 fm, dr:0.100, end:  200.00010 fm, nStep: 2000 
#           r          Pot  (Pot+Cent.)            u        du/dr            R        dR/dr           KE
#----------
    1.000E-04   -1.983E+01    6.000E+08    0.000E+00    1.000E+00    0.000E+00    1.000E+04    2.300E-01
     0.100100   -40.483609 12367.437491     0.498077    15.895962  4980.774808 -49648788.461004     0.230000
     0.200100   -40.493506  3064.587974     4.049776    59.540914    40.457298   190.645507     0.230000
     0.300100   -40.496471  1339.999640    13.437248   132.564508    67.152665   326.895765     0.230000
     0.400100   -40.497655   736.160802    31.454470   231.890904   104.813296   423.450876     0.230000
     0.500100   -40.498082   456.613028    60.601970   354.683677   151.467059   507.914567     0.230000
     0.600100   -40.498088   304.740971   103.058390   497.442592   206.075565   582.617530     0.230000
     0.700100   -40.497810   213.159290   160.619861   656.054759   267.655159   647.224795     0.230000
     0.800100   -40.497310   153.715842   234.644185   825.889866   335.158099   700.945246     0.230000
     0.900100   -40.496615   112.960014   326.004627  1001.908355   407.454852   742.974007     0.230000
     1.000100   -40.495734    83.806898   435.054877  1178.779212   483.340603   772.623718     0.230000
     1.100100   -40.494665    62.236650   561.606128  1351.004977   561.549973   789.376066     0.230000
     1.200100   -40.493398    45.830751   704.916896  1513.051414   640.775290   792.906212     0.230000
     1.300100   -40.491918    33.063330   863.695920  1659.479070   719.686626   783.095112     0.230000
     1.400100   -40.490202    22.933132  1036.118188  1785.073893   796.952687   760.034772     0.230000
     1.500100   -40.488225    14.761072  1219.853868  1884.974063   871.261959   724.028358     0.230000
     1.600100   -40.485954     8.073403  1412.109607  1954.790253   941.343649   675.586030     0.230000
     1.700100   -40.483353     2.531481  1609.681419  1990.716667  1005.988012   615.416946     0.230000
     1.800100   -40.480377    -2.111957  1809.018111  1989.630370  1064.065708   544.417777     0.230000
     1.900100   -40.476977    -6.040853  2006.293965  1949.176661  1114.545839   463.658031     0.230000
     2.000100   -40.473094    -9.394328  2197.489173  1867.838531  1156.512380   374.362481     0.230000
     2.100100   -40.468661   -12.279171  2378.476349  1744.988557  1189.178715   277.891026     0.230000
     2.200100   -40.463602   -14.778439  2545.111307  1580.921958  1211.900056   175.716348     0.230000
     2.300100   -40.457830   -16.957511  2693.326154  1376.869901  1224.183516    69.399748     0.230000
     2.400100   -40.451242   -18.868406  2819.222708  1134.992587  1225.695712   -39.434427     0.230000
     2.500100   -40.443724   -20.552916  2919.164210   858.352037  1216.267743  -149.125331     0.230000
     2.600100   -40.435144   -22.044918  2989.863310   550.864936  1195.897488  -258.002701     0.230000
     2.700100   -40.425350   -23.372088  3028.464375   217.236315  1164.749192  -364.414014     0.230000
     2.800100   -40.414170   -24.557204  3032.618248  -137.124758  1123.150346  -466.751270     0.230000
     2.900100   -40.401406   -25.619133  3000.547747  -506.205900  1071.585924  -563.476956     0.230000
     3.000100   -40.386833   -26.573588  2931.102346  -883.506641  1010.690095  -653.148766     0.230000
     3.100100   -40.370190   -27.433721  2823.800701 -1262.165908   941.235526  -734.442663     0.230000
     3.200100   -40.351185   -28.210587  2678.859922 -1635.099249   864.120487  -806.173909     0.230000
     3.300100   -40.329480   -28.913506  2497.210740 -1995.143057   780.353970  -867.315717     0.230000
     3.400100   -40.304690   -29.550350  2280.498033 -2335.202864   691.039070  -917.015222     0.230000
     3.500100   -40.276379   -30.127776  2031.066443 -2648.402671   597.354914  -954.606507     0.230000
     3.600100   -40.244047   -30.651409  1751.931130 -2928.232197   500.537450  -979.620482     0.230000
     3.700100   -40.207127   -31.125989  1446.734047 -3168.688950   401.859406  -991.791438     0.230000
     3.800100   -40.164972   -31.555488  1119.686386 -3364.412055   302.609764  -991.060193     0.230000
     3.900100   -40.116852   -31.943209   775.498178 -3510.804909   204.073098  -977.573750     0.230000
     4.000100   -40.061936   -32.291856   419.296304 -3604.143895   107.509116  -951.681498     0.230000
     4.100100   -39.999284   -32.603601    56.532438 -3641.670599    14.132756  -913.927991     0.230000
     4.200100   -39.927836   -32.880128  -307.117310 -3621.665264   -74.904834  -865.042421     0.230000
     4.300100   -39.846399   -33.122672  -665.859076 -3543.499531  -158.534101  -805.924961     0.230000
     4.400100   -39.753631   -33.332048 -1013.892097 -3407.666857  -235.783376  -737.630167     0.230000
     4.500100   -39.648031   -33.508674 -1345.521432 -3215.789424  -305.793376  -661.347708     0.230000
     4.600100   -39.527924   -33.652589 -1655.270175 -2970.600744  -367.829643  -578.380725     0.230000
     4.700100   -39.391451   -33.763466 -1937.988688 -2675.903668  -421.292730  -490.122158     0.230000
     4.800100   -39.236560   -33.840626 -2188.958419 -2336.503925  -465.725925  -398.029404     0.230000
     4.900100   -39.060993   -33.883050 -2403.987864 -1958.119891  -500.820371  -303.597742     0.230000
     5.000100   -38.862291   -33.889390 -2579.498380 -1547.269751  -526.417498  -208.332943     0.230000
     5.100100   -38.637789   -33.857988 -2712.597637 -1111.137798  -542.508677  -113.723550     0.230000
     5.200100   -38.384632   -33.786898 -2801.138767  -657.422176  -549.232126   -21.213319     0.230000
     5.300100   -38.099786   -33.673912 -2843.763464  -194.166947  -546.867072    67.825643     0.230000
     5.400100   -37.780073   -33.516600 -2839.927656   270.418034  -535.825297   152.118513     0.230000
     5.500100   -37.422209   -33.312359 -2789.908724   728.145355  -516.640196   230.511574     0.230000
     5.600100   -37.022856   -33.058473 -2694.793675  1171.041743  -489.953578   301.993659     0.230000
     5.700100   -36.578689   -32.752184 -2556.448199  1591.538016  -456.500455   365.714625     0.230000
     5.800100   -36.086477   -32.390781 -2377.467042  1982.651673  -417.092164   421.000305     0.230000
     5.900100   -35.543169   -31.971688 -2161.106737  2338.156196  -372.598186   467.363387     0.230000
     6.000100   -34.945993   -31.492567 -1911.202320  2652.731062  -323.927106   504.509783     0.230000
     6.100100   -34.292550   -30.951421 -1632.070255  2922.086695  -272.007176   532.340106     0.230000
     6.200100   -33.580912   -30.346691 -1328.400329  3143.059126  -217.766976   550.946067     0.230000
     6.300100   -32.809711   -29.677346 -1005.139790  3313.670111  -162.116706   560.601735     0.230000
     6.400100   -31.978208   -28.942964  -667.373318  3433.149754  -105.930591   561.749868     0.230000
     6.500100   -31.086366   -28.143794  -320.202681  3501.920365   -50.030887   554.983712     0.230000
     6.600100   -30.134896   -27.280816    31.370083  3521.542067     4.826092   541.024903     0.230000
     6.700100   -29.125311   -26.355790   382.552216  3494.622544    57.961579   520.698318     0.230000
     6.800100   -28.059972   -25.371307   728.859136  3424.694970   108.783322   494.904800     0.230000
     6.900100   -26.942150   -24.330852  1066.199754  3316.069534   156.791776   464.592838     0.230000
     7.000100   -25.776089   -23.238866  1390.945897  3173.664947   201.583440   430.730208     0.230000
     7.100100   -24.567076   -22.100820  1699.984154  3002.826930   242.851410   394.276585     0.230000
