RUN-001 start at Thu May 30 19:47:59 CDT 2019, Li7 + CD2 300microns
         stop at Thu May 30 20:12:03 CDT 2019
RUN-002 start at Thu May 30 20:12:32 CDT 2019, Li7 + CD2
         stop at Thu May 30 20:34:06 CDT 2019
RUN-003 start at Thu May 30 20:34:33 CDT 2019, Li7 + CD2
         stop at Thu May 30 21:06:49 CDT 2019
RUN-004 start at Fri May 31 04:40:41 CDT 2019, Short run degraded li7 on CD2 120ug
         stop at Fri May 31 04:42:22 CDT 2019
RUN-005 start at Fri May 31 04:49:02 CDT 2019, Degraded Li7 on 120ug CD2
         stop at Fri May 31 05:11:58 CDT 2019
RUN-006 start at Fri May 31 05:13:25 CDT 2019, Degraded li7 on 120ug CD2
         stop at Fri May 31 05:29:31 CDT 2019
RUN-007 start at Fri May 31 05:35:39 CDT 2019, Degraded 7Li on 120ug CD2, modified E2->350V
         stop at Fri May 31 05:56:55 CDT 2019
RUN-008 start at Fri May 31 06:05:23 CDT 2019, Degraded li7+120ug CD2, changed tracelength to improve data rate, changed E2->375, DE2->60
         stop at Fri May 31 06:43:48 CDT 2019
RUN-009 start at Fri May 31 06:44:29 CDT 2019, Degraded 7Li + 120ug CD2
         stop at Fri May 31 07:23:58 CDT 2019
RUN-010 start at Fri May 31 07:24:43 CDT 2019, degraded 7Li + 120ug CD2
         stop at Fri May 31 07:51:01 CDT 2019
RUN-011 start at Fri May 31 08:00:37 CDT 2019, 7Li on 3H+Ti target, increased attn. from 3x to 30x
         stop at Fri May 31 08:02:07 CDT 2019
RUN-012 start at Fri May 31 08:04:33 CDT 2019, 7Li on 3H+Ti
         stop at Fri May 31 10:04:01 CDT 2019
RUN-013 start at Fri May 31 10:05:17 CDT 2019, continuing 7Li+3H/Ti
         stop at Fri May 31 12:44:25 CDT 2019
RUN-014 start at Fri May 31 21:05:20 CDT 2019, starting with 8Li+CD2(300) very little beam (15K)
         stop at Fri May 31 21:06:22 CDT 2019
RUN-015 start at Fri May 31 21:17:44 CDT 2019, Really start running with 8Li+CD2(300) 15K on target
         stop at Fri May 31 21:24:13 CDT 2019
RUN-016 start at Fri May 31 21:48:09 CDT 2019, 8Li+CD2(300) this time for sure - with recoil triggers
         stop at Fri May 31 22:30:36 CDT 2019
RUN-017 start at Fri May 31 22:31:03 CDT 2019, Li8+cd2(300)
         stop at Fri May 31 23:14:40 CDT 2019
RUN-018 start at Sat Jun  1 11:50:08 CDT 2019, Li8+CD2 300, recoils in trigger
         stop at Sat Jun  1 12:29:58 CDT 2019
RUN-019 start at Sat Jun  1 12:47:13 CDT 2019, Li8 + CD2 300ug
         stop at Sat Jun  1 13:53:37 CDT 2019
RUN-020 start at Sat Jun  1 14:11:26 CDT 2019, 8Li + Au 150ug
         stop at Sat Jun  1 14:15:55 CDT 2019
RUN-021 start at Sat Jun  1 14:16:58 CDT 2019, 8Li + Au 150ug
         stop at Sat Jun  1 14:20:48 CDT 2019
RUN-022 start at Sat Jun  1 14:30:54 CDT 2019, 8Li + Au (150ug/cm2) (E only, new thresholds)
         stop at Sat Jun  1 14:34:56 CDT 2019
RUN-023 start at Sat Jun  1 14:54:03 CDT 2019, 8Li + Ti:T (450:20 ug/cm2)
         stop at Sat Jun  1 15:59:01 CDT 2019
RUN-024 start at Sat Jun  1 16:11:46 CDT 2019, 8Li + Ti:T (450:20 ug/cm2)
         stop at Sat Jun  1 16:51:47 CDT 2019
RUN-025 start at Sat Jun  1 17:04:37 CDT 2019, 8Li + Ti:T (450:20 ug/cm2)
         stop at Sat Jun  1 17:58:26 CDT 2019
RUN-026 start at Sat Jun  1 17:59:36 CDT 2019, continue 8Li+3H/Ti
         stop at Sat Jun  1 18:53:30 CDT 2019
RUN-027 start at Sat Jun  1 18:54:44 CDT 2019, continue 8Li+3H/Ti
         stop at Sat Jun  1 19:51:03 CDT 2019
RUN-028 start at Sat Jun  1 19:52:16 CDT 2019, continue 8Li+3H/Ti
         stop at Sat Jun  1 20:42:42 CDT 2019
RUN-029 start at Sat Jun  1 21:23:07 CDT 2019, resume after interruption for cryo work 8Li+3H/Ti
         stop at Sat Jun  1 22:06:52 CDT 2019
RUN-030 start at Sat Jun  1 23:14:24 CDT 2019, 8Li+3H
         stop at Sun Jun  2 00:06:10 CDT 2019
RUN-031 start at Sun Jun  2 00:06:32 CDT 2019, 8Li+3H
         stop at Sun Jun  2 01:03:06 CDT 2019
RUN-032 start at Sun Jun  2 01:03:27 CDT 2019, 8Li+3H
         stop at Sun Jun  2 01:53:20 CDT 2019
RUN-033 start at Sun Jun  2 01:53:46 CDT 2019, 8Li+3H
         stop at Sun Jun  2 02:47:40 CDT 2019
RUN-034 start at Sun Jun  2 02:48:09 CDT 2019, 8Li+3H
         stop at Sun Jun  2 03:45:28 CDT 2019
RUN-035 start at Sun Jun  2 03:45:53 CDT 2019, 8Li+3H
         stop at Sun Jun  2 04:19:51 CDT 2019
RUN-036 start at Sun Jun  2 04:20:49 CDT 2019, 8Li + 3H/Ti 450/30ug
         stop at Sun Jun  2 05:19:59 CDT 2019
RUN-037 start at Sun Jun  2 05:20:25 CDT 2019, 8Li + 3H
         stop at Sun Jun  2 06:14:57 CDT 2019
RUN-038 start at Sun Jun  2 06:15:18 CDT 2019, 8Li + 3H
         stop at Sun Jun  2 07:05:22 CDT 2019
RUN-039 start at Sun Jun  2 07:05:35 CDT 2019, Li8+ 3H
         stop at Sun Jun  2 07:55:47 CDT 2019
RUN-040 start at Sun Jun  2 07:56:06 CDT 2019, 8Li + 3H
         stop at Sun Jun  2 08:43:57 CDT 2019
RUN-041 start at Sun Jun  2 08:44:17 CDT 2019, 8Li + 3H
         stop at Sun Jun  2 09:46:49 CDT 2019
RUN-042 start at Sun Jun  2 09:47:14 CDT 2019, 8Li+3H
