detID,e,z,Ex,rdtID,de,e,rdte,tde,te,trdte,coinTime,thetaCM,target
9,1.46636,-213.457,11.2693,5,2417.81,nan,nan,2737.44,nan,nan,-8.33918,16.3895,0
6,4.15015,-392.247,5.46394,3,879.3,3436.47,3949.2,550.481,3457.81,3972.88,0.875453,22.8566,1
0,4.84304,-444.491,3.85747,1,1360.24,2117.18,2926.23,1359.68,2105.06,2929.76,-1.66501,23.2911,3
13,2.01011,-266.768,9.79952,5,2344.26,nan,nan,2648.41,nan,nan,-20.625,17.9066,0
11,2.60621,-366,7.47521,7,2853.71,nan,nan,2853.6,nan,nan,-5.28133,17.2295,0
12,1.65522,-336.335,8.90708,3,863.184,2818.9,3385.93,538.528,2832.88,3335.99,-14.3362,12.2925,0
28,2.94823,-263.457,8.90693,7,1813.8,2580.6,3781.37,1820.37,2580.44,3787.29,38.7766,22.7011,0
12,3.97953,-319.838,6.88254,5,1613.15,2624.72,3805.48,1828.04,2612.7,3804.92,-35.4783,24.7683,0
7,5.62914,-323.809,5.11507,1,2476.62,nan,nan,2467.54,nan,nan,-11.7124,29.5176,0
27,7.13694,-291.62,4.10205,1,2400.54,nan,nan,2410.91,nan,nan,-14.5322,33.9133,0
12,1.43825,-300.076,9.76015,3,824.184,nan,nan,513.834,nan,nan,-8.16985,12.3665,0
21,4.35441,-356.922,5.86195,5,1528.44,2866.63,3935.58,1728.43,2854.9,3936.54,-2.20196,24.7814,1
9,1.8643,-200.552,11.0948,5,1378.59,2612.32,3601.09,1557.79,2599.81,3543.56,-18.6536,19.4098,0
20,2.03512,-419.483,7.03031,7,3545.03,nan,nan,3552.98,nan,nan,1.18383,10.391,0
3,4.04278,-264.974,7.75701,1,864.66,3696.05,3889.15,863.062,3681.43,3889.55,1.0124,26.7516,0
12,8.21953,-293.128,2.9533,3,944.82,3209.05,3805.29,592.2,3239.83,3796.61,19.4402,35.9406,0
7,6.55249,-330.768,4.04149,5,3144.82,nan,nan,3557.3,nan,nan,10.25,31.5122,0
11,4.10473,-368.765,5.91428,3,2240.72,nan,nan,1404.55,nan,nan,14.9853,23.5314,0
0,2.53908,-412.034,6.7262,1,1096.23,3461.06,3886.11,1090.65,3448.86,3885.12,1.74607,14.691,0
1,4.84963,-356.669,5.35757,1,791.04,3733.83,3857.29,780.6,3719.49,3850.08,-6.02068,26.3318,0
23,6.11784,-242.621,5.99204,7,1765.43,2763.09,3905.17,1766.91,2759.2,3902.95,36.7824,33.1228,0
29,4.07215,-198.724,8.8585,3,1961.99,nan,nan,1229,nan,nan,-26.3285,28.8574,0
29,1.77282,-179.256,11.5557,7,2872.54,nan,nan,2872.69,nan,nan,-5.3551,19.5635,0
14,6.67134,-194.195,6.24102,3,1880.28,nan,nan,1175.74,nan,nan,-5.10658,35.7282,0
20,3.17255,-423.889,5.90086,7,3072.68,nan,nan,3073.82,nan,nan,1.83287,17.6031,0
29,1.76065,-185.181,11.4656,1,1892.92,nan,nan,1887.19,nan,nan,39.7229,19.2987,0
9,6.41556,-198.925,6.42618,1,1154.66,3352.94,3841.94,1151.91,3339.25,3842.14,4.77303,35.0434,2
14,1.30309,-175.094,12.1007,3,943.932,3013.35,3630.55,584.897,3040.41,3589.89,38.8416,16.5628,0
12,3.29029,-319.638,7.59096,3,806.664,3505.44,3945.94,503.597,3504.28,3972.46,-3.90299,22.1968,0
6,3.84262,-398.665,5.66625,3,923.328,3382.19,3940.09,579.366,3395.86,3939.81,-6.02938,21.4933,1
12,5.64076,-305.61,5.4134,3,879,3254.6,3787.27,549.262,3269.72,3783.57,-3.93231,30.1039,2
21,2.18771,-354.702,8.08253,1,2235.47,nan,nan,2231.57,nan,nan,-7.82367,15.2829,0
4,2.24007,-171.739,11.2086,1,1189.3,2183.81,2833.51,1195.35,2169.7,2841.15,-10.2435,22.3616,3
4,5.13911,-174.705,8.16268,1,1123.95,2479.62,3038.36,1119.68,2471.04,3041.75,-6.34569,32.6595,3
14,2.26077,-175.855,11.1166,3,898.644,2849.73,3444.85,562.547,2876.75,3403.88,-25.1318,22.3403,0
26,2.56016,-369.054,7.467,7,3438.11,nan,nan,3433.84,nan,nan,-10.0055,16.8449,0
3,6.44418,-271.254,5.16663,1,1898.23,1134.78,2531.2,1898.85,1126.98,2539.63,-17.1294,33.0298,0
4,7.58958,-207.316,5.06448,1,1510.26,nan,nan,1506.94,nan,nan,19.183,37.1959,0
28,5.76687,-265.954,5.95857,7,2349.05,1023.99,2838.58,2345.46,1023.93,2835.21,26.4866,31.6059,0
27,5.45973,-307.425,5.5696,1,1850.79,2052.89,3305.12,1840.8,2039.26,3298.94,19.2225,29.5837,0
14,1.1889,-181.121,12.1084,3,1346.33,1584.54,2718.18,838.725,1599.38,2402.68,-26.4907,15.4633,0
0,8.42466,-442.085,0.208402,1,2420.98,nan,nan,2428.61,nan,nan,25.2695,31.9832,0
9,1.62052,-193.476,11.4633,3,929.376,3103.99,3698.18,581.55,3140.26,3686.4,-26.9529,18.1458,0
14,4.88371,-197.755,8.03493,3,1882.52,nan,nan,1176.85,nan,nan,18.974,31.3065,0
9,3.6955,-192.876,9.34768,1,1753.23,1895.58,3078.57,1749.41,1884.82,3080.43,16.9546,27.7721,0
12,5.37161,-299.362,5.79818,3,900.528,3432.7,3964.72,562.444,3453.89,3980.91,-12.4905,29.5994,1
1,4.47272,-354.16,5.78791,1,1116.52,3408,3856.99,1112.77,3390.46,3852.88,7.64659,25.2562,2
27,8.06677,-307.926,2.86046,7,2294.51,1101.03,2859.35,2294.55,1099.05,2857.55,-4.59584,35.2426,3
24,1.38364,-195.286,11.6685,7,1795.08,2617.38,3798.04,1793.82,2613.79,3793.57,30.2049,16.4529,0
24,1.50464,-202.056,11.4302,5,1612.19,2565.79,3755.91,1823.53,2554.27,3746.81,3.26361,17.0726,2
11,2.83969,-369.074,7.18983,3,1588.5,913.14,2336.65,992.766,924.55,1881.9,16.0381,18.3076,0
28,3.31012,-250.863,8.75241,7,1927.09,2558.68,3865.71,1925.17,2557.74,3863.07,11.1113,24.5829,2
1,4.68993,-372.741,5.24642,1,1038.55,3595.87,3954.67,1035.71,3580.55,3953.35,-6.89185,25.3142,1
6,1.72946,-356.182,8.47732,1,1284.73,1106.86,1961.05,1277.32,1100.8,1963.89,20.9458,11.7881,0
14,3.48955,-206.387,9.32933,3,942.744,3251.22,3840.93,592.134,3285.98,3842.69,1.38787,26.6366,2
14,2.60723,-174.387,10.7862,3,911.232,3201.8,3768.99,570.131,3247.2,3781.91,14.1827,24.0314,0
13,6.221,-240.176,5.92667,3,890.184,3416.99,3941.56,555.159,3434.05,3953.79,5.8047,33.43,1
0,7.20427,-415.224,1.92848,1,1102.71,3419.67,3855.08,1104.47,3403,3856.63,-2.97637,30.3683,2
1,8.91982,-375.805,0.822322,3,1870.01,nan,nan,1168.65,nan,nan,-14.9771,34.8081,0
24,5.93662,-205.844,6.80558,7,1731.8,2825.74,3931.96,1726.12,2822.12,3923.38,18.2681,33.7589,0
14,2.87923,-189.856,10.2411,3,885.18,3379.42,3903.72,552.675,3392.47,3909.73,37.0725,24.7499,0
23,3.38457,-270.577,8.33786,5,2074.58,1701.76,3423.52,2348.81,1688.36,3432.39,22.5114,24.232,0
9,2.87897,-195.058,10.1522,3,1677.47,1266.27,2729.62,1044.46,1278.44,2287.48,-4.58108,24.5907,0
28,4.71814,-270.369,6.96804,7,1889.85,2530.66,3805.47,1890.23,2528.08,3803.44,-10.2571,28.6777,2
24,4.57473,-194.169,8.4161,7,2381.78,1037.62,2881.37,2375.21,1037.27,2874.99,-2.47216,30.5311,3
6,3.63079,-369.852,6.37881,3,902.832,3414.59,3950.67,562.941,3428.53,3956.05,-19.4959,21.7457,0
28,1.57558,-237.126,10.7478,7,1822.52,2429.59,3650.03,1821.49,2425.92,3645.69,34.9505,16.2626,0
13,7.69044,-247.654,4.27478,5,3036.89,nan,nan,3436.11,nan,nan,22.5512,36.2542,0
14,2.37842,-202.085,10.545,5,2530.01,nan,nan,2856.81,nan,nan,19.6317,22.105,0
3,8.40279,-274.713,3.07571,1,1875.48,1565.47,2893.81,1871.55,1559.88,2900.16,13.7686,36.7844,0
29,6.13624,-200.688,6.68614,7,2943.12,nan,nan,2944.39,nan,nan,25.8183,34.3683,0
9,3.56651,-215.366,9.09638,1,1270.4,1684.16,2461.46,1267.91,1673.61,2464.69,25.6006,26.6431,0
24,7.30468,-203.207,5.43019,7,2410.08,nan,nan,2407.27,nan,nan,7.00353,36.7634,0
12,4.25781,-325.247,6.5041,3,860.016,3453.16,3946.9,537.225,3447.35,3949.16,-13.1928,25.523,1
3,1.60131,-260.385,10.3146,3,1615.32,1306.62,2710.24,1008.28,1347.04,2319.9,-26.7002,15.5108,0
24,5.07293,-177.705,8.18025,7,1762.89,2764.07,3903.73,1760.52,2759.64,3897.46,19.5628,32.3979,0
23,3.3672,-243.466,8.82056,7,2773.24,1255.35,3443.7,2767.18,1253.3,3436.21,32.0641,25.037,0
21,1.84825,-366.758,8.17953,5,2145.54,583.24,2556.58,2418.97,580.065,2474.12,6.12393,12.1866,0
14,5.35594,-172.602,7.97354,5,2087.57,1057.79,2901.33,2358.43,1052.21,2854.05,7.88788,33.283,0
9,1.23017,-208.358,11.5901,3,889.26,3330.33,3863.71,553.875,3347.51,3865.97,0.626368,14.7765,0
11,3.96583,-384.496,5.78536,5,1655.2,2354.47,3616.62,1870.52,2341.65,3593.92,29.9724,22.4759,0
