z,0,1,2,3,4,5,6,7,8,9,10,11
-500.000000,5.606117,4.868088,3.928205,3.286031,2.741384,2.279683,1.747474,0.787519,0.630903,None,None,None
-499.000000,5.623701,4.885899,3.946814,3.306101,2.769104,2.307278,1.774915,0.814654,0.657985,None,None,None
-498.000000,5.641284,4.903709,3.965422,3.326172,2.794658,2.334872,1.802355,0.841790,0.685067,None,None,None
-497.000000,5.658868,4.921520,3.983862,3.346103,2.820072,2.362467,1.829796,0.868925,0.712149,None,None,None
-496.000000,5.676451,4.939331,4.002287,3.365771,2.844016,2.390062,1.857236,0.896061,0.739231,None,None,None
-495.000000,5.694007,4.957141,4.020712,3.385438,2.867961,2.417656,1.884677,0.923196,0.766313,None,None,None
-494.000000,5.711528,4.974952,4.039138,3.405106,2.890828,2.445251,1.912117,0.950331,0.793394,None,None,None
-493.000000,5.729049,4.992680,4.057563,3.424559,2.913583,2.472845,1.939558,0.977467,0.820476,None,None,None
-492.000000,5.746570,5.010405,4.075870,3.443888,2.935888,2.500440,1.966999,1.004602,0.847558,None,None,None
-491.000000,5.764092,5.028129,4.094135,3.463218,2.957722,2.528034,1.994439,1.031737,0.874640,None,None,None
-490.000000,5.781613,5.045853,4.112401,3.482547,2.979556,2.555629,2.021880,1.058873,0.901722,None,None,None
-489.000000,5.799134,5.063578,4.130666,3.501690,3.000790,2.583224,2.049320,1.086008,0.928804,None,None,None
-488.000000,5.816655,5.081302,4.148932,3.520733,3.021896,2.610818,2.076761,1.113143,0.955886,None,None,None
-487.000000,5.834176,5.099027,4.167162,3.539777,3.043002,2.638413,2.104201,1.140279,0.982968,None,None,None
-486.000000,5.851655,5.116703,4.185288,3.558820,3.063574,2.665309,2.131642,1.167414,1.010050,None,None,None
-485.000000,5.869120,5.134351,4.203414,3.577766,3.084093,2.690745,2.159082,1.194549,1.037132,None,None,None
-484.000000,5.886585,5.151998,4.221540,3.596565,3.104612,2.715532,2.186523,1.221685,1.064214,None,None,None
-483.000000,5.904050,5.169646,4.239666,3.615365,3.124772,2.739406,2.213963,1.248820,1.091296,None,None,None
-482.000000,5.921515,5.187293,4.257792,3.634165,3.144811,2.762975,2.241404,1.275955,1.118378,None,None,None
-481.000000,5.938980,5.204941,4.275863,3.652965,3.164849,2.785675,2.268845,1.303091,1.145459,None,None,None
-480.000000,5.956445,5.222588,4.293867,3.671582,3.184758,2.808374,2.296285,1.330226,1.172541,None,None,None
-479.000000,5.973910,5.240236,4.311871,3.690172,3.204398,2.830294,2.323726,1.357361,1.199623,None,None,None
-478.000000,5.991375,5.257821,4.329874,3.708762,3.224038,2.852083,2.351166,1.384497,1.226705,None,None,None
-477.000000,6.008808,5.275400,4.347878,3.727353,3.243677,2.873723,2.378607,1.411632,1.253787,None,None,None
-476.000000,6.026223,5.292978,4.365882,3.745933,3.263101,2.894793,2.406047,1.438768,1.280869,None,None,None
-475.000000,6.043637,5.310557,4.383851,3.764342,3.282407,2.915862,2.433488,1.465903,1.307951,None,None,None
-474.000000,6.061052,5.328136,4.401747,3.782751,3.301713,2.936750,2.460928,1.493038,1.335033,None,None,None
-473.000000,6.078467,5.345714,4.419643,3.801161,3.321019,2.957239,2.488369,1.520174,1.362115,None,None,None
-472.000000,6.095881,5.363293,4.437538,3.819570,3.340125,2.977727,2.515809,1.547309,1.389197,None,None,None
-471.000000,6.113296,5.380872,4.455434,3.837979,3.359148,2.998136,2.542153,1.574444,1.416279,None,None,None
-470.000000,6.130710,5.398403,4.473330,3.856239,3.378172,3.018149,2.567477,1.601580,1.443361,None,None,None
-469.000000,6.148125,5.415920,4.491225,3.874491,3.397195,3.038161,2.591848,1.628715,1.470443,None,None,None
