z,e
-389.881,4.34443
-392.483,4.30375
-381.726,4.80186
-365.234,2.46638
-360.76,4.90048
-361.963,4.94281
-387.703,4.41414
-371.271,7.15849
-358.8,2.80619
-394.893,4.3026
-357.588,4.51179
-359.637,2.84591
-388.542,2.20515
-396.163,3.18181
-395.449,3.90542
-373.141,4.27039
-381.889,2.27045
-350.972,4.98118
-380.943,2.28187
-368.921,2.75646
-365.98,4.27417
-380.325,2.02839
-353.612,5.00452
-397.008,1.89385
-393.436,2.06464
-367.626,2.40359
-393.595,3.05831
-371.062,4.78983
-394.152,2.74852
-367.285,3.83413
-353.157,4.58634
-377.916,2.55763
-369.728,3.18803
-372.502,4.1974
-382.589,4.26253
-378.982,7.57485
-390.114,3.90551
-375.468,3.45664
-380.74,4.2014
-396.068,3.90977
-392.343,6.12089
-379.602,2.77792
-379.739,1.83577
-381.099,2.44151
-357.233,3.77449
-350.625,4.2661
-377.701,4.60611
-372.746,2.25055
-351.195,2.36315
-378.794,1.79373
-361.138,7.79973
-393.483,8.18512
-367.993,1.86396
-381.282,4.54802
-366.006,6.45664
-397.548,3.95357
-357.17,2.8587
-379.684,1.84251
-350.524,5.02066
-379.588,8.09542
-392.194,4.18841
-365.401,3.91144
-354.73,3.65565
-355.164,5.04592
-379.373,3.75964
-377.396,3.48576
-367.631,2.17094
-392.418,4.00744
-352.285,4.02489
-356.48,4.50359
-377.564,4.192
-357.374,8.2591
-351.383,5.25555
-392.229,4.33679
-354.186,4.42237
-396.253,3.85749
-369.29,2.4055
-382.643,2.74529
-386.649,2.07274
-374.037,3.30903
-394.7,2.3375
-380.235,2.91588
-359.018,2.4368
-391.779,4.40263
-369.367,4.30128
-374.527,2.37398
-390.846,2.32533
-393.348,2.24049
-381.724,2.50951
-391.179,3.14086
-379.245,4.54454
-361.41,4.90959
-358.777,4.88747
-371.202,3.75602
-382.524,5.68449
-376.731,2.51411
-381.773,7.32624
-395.64,4.25015
-367.918,4.44427
-391.465,3.24331
-382.784,2.42508
-357.275,1.59661
-359.112,4.65557
-371.647,3.66343
-392.945,3.89566
-358.74,2.56944
-352.575,4.69736
-368.259,3.1039
-356.727,3.89573
-365.483,6.25577
-398.819,3.64333
-381.309,3.75995
-376.11,2.62928
-366.823,6.58082
-359.178,5.70644
-393.256,4.36187
-388.52,3.91162
-379.706,3.76636
-380.154,5.36012
-394.213,4.29731
-352.646,5.11301
-351.142,4.00944
-353.317,4.71274
-360.752,4.15906
-361.067,4.27997
-365.095,6.27309
-380.602,7.52364
-387.407,4.42179
-382.491,2.74223
-355.882,2.75172
-372.209,3.04528
-389.836,6.59021
-370.153,4.66122
-380.433,2.29416
-380.755,7.62684
-391.325,4.39329
-350.843,3.01088
-367.015,2.60918
-370.255,4.74205
-373.579,2.4145
-368.563,2.63841
-387.315,3.11606
-368.707,3.71178
-373.003,4.31541
-376.987,2.54281
-373.469,4.43848
-387.703,6.58815
-366.172,7.70281
-379.861,5.43727
-397.183,4.24205
-393.961,3.16482
-394.25,3.86222
-394.105,2.41844
-395.278,3.83505
-366.696,4.43251
-370.541,2.2097
-387.381,4.01941
-391.623,4.00939
-354.732,7.17421
-380.425,4.57267
-352.116,4.62956
-391.803,4.27259
-360.147,1.73308
-365.816,4.77948
-372.97,4.26289
-389.239,3.30409
-377.598,2.91049
-359.315,4.84148
-392.525,3.99349
-373.196,4.58842
-368.135,2.3881
-394.355,5.04485
-392.649,4.3124
-375.521,5.17569
-387.961,4.03444
-378.589,3.09221
-392.778,2.04341
-376.31,2.61979
-351.694,6.90075
-350.924,2.62463
-353.334,2.99753
-353.266,4.54422
-367.233,7.49744
-356.096,2.03489
-379.055,1.97664
-375.672,4.35161
-385.917,7.32259
-356.454,2.61015
-392.021,2.0425
-377.001,2.23536
-369.092,2.20707
-354.007,2.19679
-352.033,5.06922
-383.477,3.85375
-372.387,2.48869
-378.845,4.70522
-381.535,4.13007
-394.908,3.9821
-370.18,1.76239
-368.717,3.01068
-396.837,4.53539
-357.096,4.90177
-375.925,4.62365
-386.922,4.0633
-371.432,4.09119
-396.09,6.49758
-355.932,5.27067
-390.793,5.1487
-372.951,4.66878
-378.296,2.46337
-373.851,2.55934
-385.791,4.30976
-358.631,7.17103
-368.957,4.15821
-379.951,3.49461
-355.12,5.45634
-391.715,2.719
-398.193,4.23237
-396.742,4.30208
-389.088,2.14207
-354.552,5.08025
-381.973,2.3271
-379.941,2.81887
-398.989,2.69536
-352.599,5.05768
-378.369,2.46286
-379.803,2.05114
-364.317,4.4796
-364.809,2.65899
-395.515,3.13068
-391.875,4.2655
-381.335,3.74971
-392.894,4.30246
-371.549,4.27145
-378.684,2.45361
-390.168,4.43372
-357.213,1.73487
-369.524,3.52879
-376.64,2.53293
-398.028,2.05609
-375.093,4.51172
-365.049,2.36912
-399.28,4.20308
-390.553,4.38665
-382.577,5.06583
-364.086,6.87497
-372.139,2.63619
-370.947,2.5342
-392.18,4.50868
-377.832,4.47692
-351.51,7.21234
-375.878,4.31865
-357.46,2.27234
-385.775,2.2935
-366.222,2.56617
-378.94,2.24691
-392.978,2.25588
-372.926,3.57558
-369.72,4.74901
-387.281,2.23095
-388.711,4.46519
-379.046,1.95878
-370.856,4.73649
-370.796,4.322
-378.999,7.30141
-376.352,2.12509
-373.709,2.29993
-356.111,2.91687
-354.794,5.091
-365.718,2.49145
-371.319,2.43332
-380.841,2.84085
-353.149,5.05232
-353.553,5.05088
-354.107,2.85498
-391.433,2.19018
-398.79,3.82229
-369.13,7.05711
-354.543,4.02383
-372.603,4.6307
-356.145,4.93842
-391.189,7.36384
