z,e
-377.891,4.66006
-391.338,4.38488
-351.907,4.57906
-370.126,4.7602
-379.946,4.62263
-359.971,4.97223
-361.411,4.82274
-372.642,7.74031
-350.876,2.90186
-385.738,4.90884
-368.058,2.71886
-361.64,4.50119
-355.971,2.90976
-376.88,4.58738
-372.628,4.70654
-376.757,4.63428
-368.728,4.41243
-357.303,2.28245
-353.849,2.28611
-364.926,3.95253
-369.682,4.72799
-360.208,4.92531
-397.495,3.84443
-361.941,2.24523
-385.347,2.53111
-354.202,5.05782
-384.458,2.28401
-354.586,2.53431
-383.773,4.5658
-366.45,2.99437
-356.347,4.54937
-395.975,3.18651
-397.786,3.91423
-395.424,3.71088
-375.502,4.22534
-384.629,4.15641
-389.197,3.10405
-377.016,2.5523
-355.465,1.71041
-388.317,3.18572
-371.421,2.77385
-377.369,2.48545
-351.082,7.33511
-371.897,4.3106
-394.202,4.66429
-381.015,4.64977
-379.766,6.33705
-386.338,4.83473
-386.864,3.25582
-366.314,5.60566
-370.76,6.23427
-391.152,4.66086
-383.986,4.15002
-371.678,4.70816
-364.709,6.23014
-351.711,6.46269
-357.007,3.84267
-350.655,4.39078
-385.215,5.65916
-372.375,4.69788
-359.318,4.87675
-365.826,2.66145
-370.386,6.1107
-353.443,4.34643
-370.108,2.57485
-394.868,3.25287
-393.838,5.455
-387.312,4.45947
-397.43,2.84291
-360.89,4.88341
-363.023,4.78536
-387.969,4.44053
-360.602,5.29223
-352.877,3.63911
-376.72,3.42917
-351.686,6.88924
-387.905,4.46793
-379.505,3.27214
-362.744,1.84282
-360.654,2.96281
-365.756,4.81319
-372.151,7.31607
-383.29,2.42139
-398.125,4.3073
-386.598,3.40052
-384.963,4.6882
-369.289,2.63853
-392.01,6.7406
-376.297,4.64869
-356.021,4.99188
-389.898,7.49674
-372.838,4.23457
-379.537,4.16141
-363.225,3.94616
-362.967,4.18731
-359.901,2.90493
-380.283,2.34969
-392.762,3.969
-357.231,2.45946
-369.517,4.74677
-357.011,1.90301
-366.236,2.71077
-397.365,2.86147
-367.165,2.67246
-392.912,4.38984
-376.072,2.52763
-361.563,7.18062
-354.547,5.0643
-368.062,4.10555
-363.589,7.22554
-350.637,5.21984
-365.668,4.80333
-394.667,4.37154
-364.102,4.82773
-387.487,4.40556
-371.961,7.04863
-391.082,2.13408
-371.579,3.34244
-361.01,2.18697
-388.397,2.82827
-380.865,4.62465
-362.776,2.96098
-376.815,2.27674
-397.457,4.17076
-394.206,3.21397
-359.023,4.35044
-397.796,3.7869
-371.834,4.78077
-395.058,3.93438
-384.609,2.08193
-357.602,2.21456
-350.531,4.93095
-382.412,2.43306
-388.836,7.51968
-363.904,6.69784
-376.668,2.03533
-383.483,4.49625
-362.966,2.07707
-371.477,3.56446
-364.17,4.88155
-395.445,4.29988
-351.813,5.02058
-369.15,3.54928
-362.561,4.58934
-383.006,4.51419
-354.004,2.3439
-380.442,5.28557
-368.454,6.923
-366.637,4.84525
-395.461,3.95728
-369.587,4.78933
-389.599,2.99296
-386.094,4.44463
-355.19,5.06422
-397.304,3.54118
-363.766,2.69485
-395.261,3.08493
-356.959,6.21385
-375.908,4.2955
-368.621,7.00277
-372.767,4.28624
-382.75,4.55541
-367.728,8.37771
-372.297,4.68598
-370.046,4.71008
-367.557,1.92328
-399.056,4.18477
-358.717,6.06365
-390.502,3.69828
-380.78,2.44547
-356.348,4.8581
-386.939,6.76662
-367.705,4.80858
-390.85,4.04724
-358.746,1.6408
-350.998,5.07944
-372.987,4.56716
-393.771,3.09391
-356.245,5.0333
-372.248,4.68884
-351.874,7.33443
-369.687,1.71601
-389.734,6.78509
-381.574,4.57209
-354.88,5.04229
-362.979,6.15545
-350.931,2.78481
-357.764,5.73657
-370.594,3.00937
-390.267,4.34694
-376.615,4.63549
-381.887,6.21829
-355.452,2.71668
-353.976,8.07765
-360.899,4.42992
-390.276,2.00955
-368.93,2.56784
-357.55,2.85321
-367.282,4.80477
-364.658,3.50355
-364.438,2.71655
-369.596,6.94202
-369.429,7.01192
-353.419,7.35913
-357.712,4.89393
-358.857,4.98232
-377.004,3.537
-361.129,6.46472
-398.029,3.8777
-384.673,4.5139
-355.775,4.59174
-387.483,4.42483
-361.663,5.01864
-396.346,4.69373
-384.504,2.29523
-361.256,3.36718
-390.843,4.01955
-380.274,4.94664
-362.879,4.85563
-363.086,2.367
-389.209,4.17927
-395.5,3.89289
-373.199,3.18816
-393.514,1.94625
-358.426,4.09607
-392.163,4.33064
-356.454,5.0775
-378.682,2.47266
-351.2,2.80504
-373.21,2.92028
-361.782,2.25352
-381.475,4.11339
-370.711,2.35563
-364.052,4.3076
-358.88,4.9595
-378.654,3.40348
-380.051,2.43047
-359.774,2.69333
-360.225,4.96398
-364.842,3.68227
-356.839,4.93723
-393.113,5.14688
-376.072,4.61256
-351.427,2.89762
-397.35,4.3495
-355.773,3.8157
-366.485,4.73133
-366.128,4.77242
-380.094,4.88376
-385.765,4.39482
-364.484,4.85668
-385.43,4.11098
-376.286,4.67696
-378.206,1.80563
-367.239,4.79894
-360.056,7.96597
-375.347,7.10707
-388.229,4.05042
-353.255,2.0773
-377.336,4.00452
-391.92,3.69786
-365.537,4.82552
-378.069,6.40885
-388.03,3.22998
-380.192,4.62456
-368.264,2.23893
-363.794,4.5032
-368.069,4.79084
-380.283,6.9605
-399.345,4.24167
-387.949,2.01597
-396.814,4.58753
-356.238,3.22806
-383.443,2.32413
-392.397,4.45732
-362.545,4.78156
-395.107,3.89046
-392.782,4.41133
-357.098,1.89874
-386.865,4.44696
-391.901,6.81213
-397.625,6.6123
-397.487,7.35202
-355.581,4.61445
-390.424,4.4685
-367.587,7.04907
-390.684,4.06738
-388.054,1.91155
-366.103,4.41228
-353.11,8.46329
-395.559,7.31348
-355.383,2.75861
-357.518,1.69215
-370.271,4.3419
-357.185,4.20943
-357.49,2.85198
-386.055,3.28012
-390.986,4.40365
-390.977,4.34681
-387.692,3.26612
-360.21,2.66225
-352.253,3.51962
-387.505,3.97236
-388.732,6.69323
-355.496,4.97277
-356.774,4.60108
-368.128,4.38444
-386.478,3.80322
-375.464,3.45566
-379.848,2.25125
-371.47,3.41408
-395.894,2.92956
-378.577,4.64565
-360.573,4.88974
-367.543,4.39437
-388.475,4.27207
-371.712,2.50542
-350.675,4.00299
-377.527,4.18133
-368.485,2.49974
-386.69,3.82959
-386.501,7.44789
-359.5,3.16839
-383.288,3.245
-378.77,2.21121
-365.599,2.57586
-366.468,3.49938
-379.576,1.78902
-365.903,1.68902
-368.366,2.5386
-366.236,4.77685
-396.199,2.33434
-382.328,1.94576
-388.939,2.6786
-398.833,2.45952
-365.783,2.78077
-391.052,7.51907
-361.207,4.9188
-361.59,4.75162
-363.006,4.4
-388.405,4.35704
-370.271,2.38032
-390.581,4.4656
-382.83,3.94425
-391.693,4.42071
-366.787,4.73671
-398.677,4.28925
-365.347,6.79255
-352.608,5.11098
-385.733,4.49027
-350.671,1.95979
-379.255,4.9783
-368.892,2.72979
-360.116,4.72844
-386.197,3.37645
-393.966,5.2942
-395.02,4.32142
-365.161,5.68678
-376.275,4.67755
-379.326,4.61421
-371.84,4.46638
-399.386,2.78484
-364.701,4.83103
-361.835,4.55914
-380.212,2.383
-384.45,6.80167
-354.947,4.98411
-364.387,3.6986
-397.872,4.23295
-357.636,7.93794
-357.507,4.55656
-354.96,5.01089
-372.258,2.50983
-355.404,5.08813
-364.979,2.66875
-360.509,4.49354
-387.025,4.06322
-350.797,4.37917
-368.695,2.60791
-359.086,4.98014
-367.68,4.39976
-384.465,4.07246
-387.594,4.38374
-395.345,4.29724
-380.15,7.61391
-388.932,2.43951
-362.291,4.88396
-354.191,4.79346
-361.025,1.62014
-360.53,3.32105
-381.158,4.55895
-383.45,3.13449
-384.78,4.13546
-381.72,4.55823
-397.14,7.09155
-366.466,4.44782
-379.469,3.80731
-365.304,4.45828
-398.423,4.31803
-357.639,4.60517
-364.069,4.82333
-366.885,1.97186
-367.115,4.76677
-358.832,4.96045
-376.512,4.80908
-394.157,3.95772
-360.428,3.6654
-386.143,4.03314
-364.826,4.46419
-378.661,7.53978
-371.734,7.80264
-356.003,5.04413
-397.491,5.69738
-353.732,3.87468
-355.242,7.82949
-363.226,2.6996
-355.598,1.61812
-366.72,4.7576
-353.705,7.41313
-365.89,4.38922
-387.913,4.06075
-384.038,4.47822
-352.821,2.70513
-362.859,3.69118
-365.517,7.88281
-353.998,3.99312
-359.163,6.20098
-375.799,2.51243
-375.596,2.57315
-385.939,4.10631
-365.649,2.21256
-361.65,3.81856
-371.812,5.74463
-395.085,4.34148
-351.119,2.95518
-357.155,5.08281
-373.08,4.33736
