#208Pb(d,p)209Pb(9/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(11/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(15/2- 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(5/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(1/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(7/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(3/2+ 0.000) ELAB= 15.000
   Angel	  Ex=0.000(1g9/2)AK Ex=0.000(0i11/2)AK Ex=0.000(0j15/2)AK  Ex=0.000(2d5/2)AK  Ex=0.000(3s1/2)AK  Ex=0.000(1g7/2)AK  Ex=0.000(2d3/2)AK
   1.000	           0.383210           0.044894           0.018756           4.666500           0.627860           0.253190           3.013000
   2.000	           0.384760           0.045151           0.018658           4.662300           0.651390           0.254650           3.009400
   3.000	           0.387530           0.045574           0.018498           4.654400           0.691090           0.257220           3.002800
   4.000	           0.391820           0.046157           0.018278           4.641600           0.747590           0.261080           2.992500
   5.000	           0.398000           0.046891           0.018005           4.622100           0.821670           0.266510           2.977400
   6.000	           0.406540           0.047763           0.017684           4.594200           0.914170           0.273800           2.956600
   7.000	           0.417970           0.048759           0.017324           4.556200           1.025900           0.283330           2.929000
   8.000	           0.432870           0.049862           0.016936           4.506400           1.157400           0.295480           2.893800
   9.000	           0.451830           0.051053           0.016530           4.444000           1.309100           0.310650           2.850500
  10.000	           0.475450           0.052311           0.016120           4.368500           1.481100           0.329250           2.799100
  11.000	           0.504270           0.053616           0.015720           4.280600           1.672800           0.351650           2.740200
  12.000	           0.538780           0.054944           0.015346           4.181700           1.883300           0.378190           2.675000
  13.000	           0.579390           0.056275           0.015014           4.074600           2.110800           0.409130           2.605400
  14.000	           0.626350           0.057586           0.014739           3.962800           2.352500           0.444680           2.534000
  15.000	           0.679780           0.058858           0.014537           3.850700           2.604600           0.484910           2.463800
  16.000	           0.739630           0.060076           0.014422           3.743100           2.862100           0.529790           2.398100
  17.000	           0.805650           0.061225           0.014407           3.645500           3.118500           0.579180           2.340500
  18.000	           0.877400           0.062299           0.014501           3.563000           3.366200           0.632780           2.294600
  19.000	           0.954280           0.063294           0.014712           3.500600           3.596400           0.690210           2.263300
  20.000	           1.035500           0.064215           0.015041           3.462500           3.799400           0.750940           2.249600
  21.000	           1.120200           0.065072           0.015490           3.452400           3.965400           0.814380           2.255600
  22.000	           1.207300           0.065885           0.016052           3.472900           4.084800           0.879880           2.282800
