#94Ru(d,p)95Ru(5/2+ 0.000) ELAB= 16.800
#94Ru(d,p)95Ru(5/2+ 1.648) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 0.788) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 2.246) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 3.288) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 0.942) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 1.331) ELAB= 16.800
#94Ru(d,p)95Ru(11/2- 2.450) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.141) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.740) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 2.220) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 3.288) ELAB= 16.800
   Angel	  Ex=0.000(1d5/2)AK  Ex=1.648(1d5/2)AK  Ex=0.788(2s1/2)AK  Ex=2.246(2s1/2)AK  Ex=3.288(2s1/2)AK  Ex=0.942(0g7/2)AK  Ex=1.331(0g7/2)AK Ex=2.450(0h11/2)AK  Ex=1.141(1d3/2)AK  Ex=1.740(1d3/2)AK  Ex=2.220(1d3/2)AK  Ex=3.288(1d3/2)AK
   0.200	           0.267670           0.654360          53.536000          53.149000          50.126000           1.172900           1.278700           0.321600           0.241540           0.389650           0.594330           1.466000
   0.400	           0.273490           0.662360          53.474000          53.086000          50.067000           1.172700           1.278400           0.321650           0.246530           0.395290           0.600540           1.473500
   0.600	           0.283210           0.675710          53.370000          52.982000          49.970000           1.172300           1.277900           0.321730           0.254870           0.404710           0.610880           1.486000
   0.800	           0.296840           0.694420          53.224000          52.837000          49.834000           1.171700           1.277200           0.321850           0.266550           0.417900           0.625370           1.503500
   1.000	           0.314410           0.718520          53.037000          52.650000          49.659000           1.170900           1.276300           0.322000           0.281600           0.434880           0.644010           1.526100
   1.200	           0.335970           0.748020          52.810000          52.423000          49.446000           1.170000           1.275300           0.322180           0.300030           0.455660           0.666820           1.553600
   1.400	           0.361550           0.782950          52.542000          52.155000          49.196000           1.168900           1.274000           0.322390           0.321870           0.480260           0.693820           1.586200
   1.600	           0.391200           0.823360          52.235000          51.848000          48.908000           1.167600           1.272600           0.322640           0.347130           0.508710           0.725000           1.623700
   1.800	           0.424990           0.869290          51.888000          51.501000          48.584000           1.166200           1.270900           0.322920           0.375850           0.541020           0.760400           1.666300
   2.000	           0.462980           0.920770          51.502000          51.116000          48.223000           1.164600           1.269100           0.323230           0.408070           0.577220           0.800030           1.713900
