#16N(d,3He)15C(5/2+ 0.74) ELAB= 24.000
#16N(d,3He)15C(1/2+ 0.00) ELAB= 24.000
   Angel	   Ex=0.74(0p1/2)Kx   Ex=0.00(0p1/2)Kx
   0.500	           0.237410           0.386100
   1.000	           0.270610           0.427280
   1.500	           0.325250           0.495020
   2.000	           0.400310           0.587990
   2.500	           0.494410           0.704380
   3.000	           0.605800           0.841940
   3.500	           0.732440           0.998000
   4.000	           0.872030           1.169600
   4.500	           1.022000           1.353400
   5.000	           1.179800           1.546100
   5.500	           1.342400           1.744000
   6.000	           1.507200           1.943500
   6.500	           1.671200           2.141000
   7.000	           1.831700           2.333000
   7.500	           1.986000           2.516100
   8.000	           2.131500           2.687300
   8.500	           2.266100           2.843800
   9.000	           2.387500           2.982900
   9.500	           2.494100           3.102700
  10.000	           2.584300           3.201300
  10.500	           2.657000           3.277500
  11.000	           2.711200           3.330400
  11.500	           2.746500           3.359400
  12.000	           2.762700           3.364700
  12.500	           2.759800           3.346500
  13.000	           2.738400           3.305600
  13.500	           2.699000           3.243000
  14.000	           2.642700           3.160200
  14.500	           2.570600           3.058700
  15.000	           2.484000           2.940500
  15.500	           2.384600           2.807700
  16.000	           2.273900           2.662300
  16.500	           2.153800           2.506800
  17.000	           2.026000           2.343400
  17.500	           1.892300           2.174400
  18.000	           1.754600           2.002000
  18.500	           1.614600           1.828600
  19.000	           1.474100           1.656100
  19.500	           1.334600           1.486600
  20.000	           1.197700           1.321700
  20.500	           1.064900           1.163100
  21.000	           0.937170           1.012200
  21.500	           0.815780           0.870110
  22.000	           0.701600           0.737920
  22.500	           0.595410           0.616360
  23.000	           0.497790           0.505980
  23.500	           0.409180           0.407150
  24.000	           0.329850           0.320010
  24.500	           0.259930           0.244570
  25.000	           0.199410           0.180620
  25.500	           0.148130           0.127840
  26.000	           0.105830           0.085748
  26.500	           0.072145           0.053761
  27.000	           0.046604           0.031195
  27.500	           0.028672           0.017287
  28.000	           0.017747           0.011216
  28.500	           0.013179           0.012117
  29.000	           0.014282           0.019102
  29.500	           0.020352           0.031274
  30.000	           0.030672           0.047741
  30.500	           0.044532           0.067632
  31.000	           0.061231           0.090107
  31.500	           0.080095           0.114370
  32.000	           0.100480           0.139670
  32.500	           0.121770           0.165310
  33.000	           0.143420           0.190680
  33.500	           0.164910           0.215220
  34.000	           0.185770           0.238420
  34.500	           0.205600           0.259890
  35.000	           0.224050           0.279270
  35.500	           0.240830           0.296290
  36.000	           0.255700           0.310730
  36.500	           0.268470           0.322470
  37.000	           0.279020           0.331410
  37.500	           0.287260           0.337530
  38.000	           0.293160           0.340870
  38.500	           0.296720           0.341490
  39.000	           0.298000           0.339520
  39.500	           0.297080           0.335100
  40.000	           0.294060           0.328410
  40.500	           0.289090           0.319670
  41.000	           0.282320           0.309090
  41.500	           0.273930           0.296910
  42.000	           0.264110           0.283370
  42.500	           0.253060           0.268740
  43.000	           0.240970           0.253250
  43.500	           0.228050           0.237150
  44.000	           0.214510           0.220670
  44.500	           0.200540           0.204050
  45.000	           0.186330           0.187480
  45.500	           0.172050           0.171160
  46.000	           0.157880           0.155280
  46.500	           0.143970           0.139990
  47.000	           0.130460           0.125420
  47.500	           0.117470           0.111700
  48.000	           0.105120           0.098921
  48.500	           0.093489           0.087164
  49.000	           0.082661           0.076484
  49.500	           0.072694           0.066920
  50.000	           0.063631           0.058492
  50.500	           0.055500           0.051203
  51.000	           0.048317           0.045040
  51.500	           0.042081           0.039977
  52.000	           0.036781           0.035973
  52.500	           0.032394           0.032979
  53.000	           0.028887           0.030932
  53.500	           0.026217           0.029765
  54.000	           0.024336           0.029403
  54.500	           0.023187           0.029764
  55.000	           0.022708           0.030767
  55.500	           0.022835           0.032326
  56.000	           0.023501           0.034354
  56.500	           0.024636           0.036767
  57.000	           0.026169           0.039480
  57.500	           0.028032           0.042413
  58.000	           0.030156           0.045488
  58.500	           0.032475           0.048633
  59.000	           0.034927           0.051778
  59.500	           0.037451           0.054862
  60.000	           0.039992           0.057828
  60.500	           0.042498           0.060626
  61.000	           0.044923           0.063212
  61.500	           0.047224           0.065549
  62.000	           0.049365           0.067605
  62.500	           0.051314           0.069357
  63.000	           0.053046           0.070786
  63.500	           0.054540           0.071880
  64.000	           0.055778           0.072632
  64.500	           0.056750           0.073042
  65.000	           0.057450           0.073113
  65.500	           0.057874           0.072853
  66.000	           0.058026           0.072276
  66.500	           0.057909           0.071397
  67.000	           0.057534           0.070235
  67.500	           0.056912           0.068812
  68.000	           0.056058           0.067153
  68.500	           0.054988           0.065283
  69.000	           0.053722           0.063230
  69.500	           0.052278           0.061020
  70.000	           0.050679           0.058682
  70.500	           0.048947           0.056245
  71.000	           0.047104           0.053736
  71.500	           0.045172           0.051182
  72.000	           0.043175           0.048610
  72.500	           0.041134           0.046045
  73.000	           0.039071           0.043510
  73.500	           0.037005           0.041026
  74.000	           0.034957           0.038615
  74.500	           0.032945           0.036294
  75.000	           0.030985           0.034079
  75.500	           0.029093           0.031984
  76.000	           0.027282           0.030022
  76.500	           0.025564           0.028201
  77.000	           0.023951           0.026530
  77.500	           0.022449           0.025014
  78.000	           0.021067           0.023656
  78.500	           0.019809           0.022459
  79.000	           0.018680           0.021422
  79.500	           0.017681           0.020544
  80.000	           0.016813           0.019821
  80.500	           0.016075           0.019248
  81.000	           0.015466           0.018820
  81.500	           0.014981           0.018528
  82.000	           0.014617           0.018365
  82.500	           0.014368           0.018322
  83.000	           0.014228           0.018388
  83.500	           0.014189           0.018555
