#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 2.00) ELAB= 24.000
#16N(d,t)15N(1/2- 4.00) ELAB= 24.000
#16N(d,t)15N(1/2- 6.00) ELAB= 24.000
   Angel	   Ex=0.00(0d5/2)Kx   Ex=0.00(1s1/2)Kx   Ex=2.00(0d5/2)Kx   Ex=4.00(0d5/2)Kx   Ex=6.00(0d5/2)Kx
   0.500	          16.221000          24.611000          10.553000           5.891700           2.993700
   1.000	          16.193000          24.285000          10.549000           5.893000           2.991100
   1.500	          16.145000          23.750000          10.544000           5.895300           2.987000
   2.000	          16.078000          23.018000          10.536000           5.898900           2.982100
   2.500	          15.993000          22.106000          10.526000           5.903900           2.977000
   3.000	          15.890000          21.034000          10.512000           5.910800           2.972500
   3.500	          15.769000          19.825000          10.495000           5.919700           2.969500
   4.000	          15.629000          18.506000          10.474000           5.931000           2.968900
   4.500	          15.472000          17.103000          10.448000           5.944800           2.971800
   5.000	          15.298000          15.644000          10.416000           5.961200           2.979100
   5.500	          15.105000          14.158000          10.378000           5.980200           2.991400
   6.000	          14.894000          12.672000          10.333000           6.001400           3.009600
   6.500	          14.665000          11.211000          10.280000           6.024600           3.034000
   7.000	          14.418000           9.800300          10.217000           6.049000           3.064900
   7.500	          14.151000           8.459100          10.144000           6.073900           3.102500
   8.000	          13.865000           7.205500          10.059000           6.098300           3.146300
   8.500	          13.560000           6.054000           9.960600           6.121000           3.196000
   9.000	          13.235000           5.015200           9.848800           6.140700           3.250800
   9.500	          12.890000           4.096100           9.722200           6.156000           3.309800
  10.000	          12.526000           3.300300           9.579900           6.165400           3.371700
  10.500	          12.143000           2.628100           9.421200           6.167500           3.435300
  11.000	          11.741000           2.076800           9.245500           6.160600           3.499000
  11.500	          11.323000           1.640800           9.052700           6.143200           3.561200
  12.000	          10.889000           1.312600           8.842600           6.114200           3.620200
  12.500	          10.442000           1.082700           8.615300           6.072100           3.674300
  13.000	           9.982000           0.940170           8.371400           6.016000           3.722000
