          Proton spectra in laboratory coordinates 81073 events
=============================================================================================================================
| Energy range |_________________________________________ Angular range (deg)_______________________________________________|
|    (MeV)     |    0 |  10 |  20 |  30 |  40 |  50 |  60 |  70 |  80 |  90 | 100 | 110 | 120 | 130 | 140 | 150 | 160 | 170 |
|              |   10 |  20 |  30 |  40 |  50 |  60 |  70 |  80 |  90 | 100 | 110 | 120 | 130 | 140 | 150 | 160 | 170 | 180 |
|--------------|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
|   0.0-1.0    |    10|   40|   75|  112|  172|  239|  271|  288|  223|  228|  187|  133|   90|   83|   41|   35|   15|    4|
|   1.0-2.0    |     2|    3|   17|   68|  205|  378|  505|  449|  375|  297|  210|  146|  108|   57|   34|   26|   15|    1|
|   2.0-3.0    |      |    1|    3|   31|  185|  431|  557|  552|  374|  229|  183|   92|   59|   47|   11|   11|    6|    1|
|   3.0-4.0    |      |     |     |   16|  163|  483|  755|  522|  387|  237|  113|   56|   51|   16|   21|    8|    3|     |
|   4.0-5.0    |      |     |     |    9|  209|  607|  712|  462|  299|  182|   89|   35|   26|   17|    1|    2|     |     |
|   5.0-6.0    |      |     |     |   20|  202|  781|  695|  434|  285|  123|   49|   27|    8|    4|    3|    2|    1|     |
|   6.0-7.0    |      |     |     |   16|  308|  812|  654|  457|  206|  108|   37|   20|   10|    9|    3|     |    1|     |
|   7.0-8.0    |      |     |     |   32|  395|  824|  658|  406|  149|   77|   26|   10|    4|    3|     |     |    1|     |
|   8.0-9.0    |      |     |     |   47|  540|  839|  540|  323|  141|   53|   15|    5|    4|     |    2|     |     |     |
|   9.0-10.0   |      |     |     |   74|  639|  835|  507|  229|   95|   38|   14|    5|     |    1|     |     |     |     |
|  10.0-11.0   |      |     |    3|  139|  747|  779|  460|  192|   69|   30|    1|    3|    1|     |     |     |     |     |
|  11.0-12.0   |      |     |    4|  202|  830|  789|  388|  176|   47|   18|    7|    2|    1|     |     |     |     |     |
|  12.0-13.0   |      |     |   22|  337|  896|  682|  360|  126|   38|   14|    3|    1|     |     |     |     |     |     |
|  13.0-14.0   |      |     |   30|  494|  899|  600|  290|   85|   32|    9|    4|     |     |     |     |     |     |     |
|  14.0-15.0   |      |     |   62|  577|  840|  544|  239|   85|   23|    7|    2|     |     |     |     |     |     |     |
|  15.0-16.0   |      |    1|  150|  737|  816|  519|  188|   58|   18|    3|     |     |     |     |     |     |     |     |
|  16.0-17.0   |      |   10|  210|  780|  854|  387|  168|   66|   19|    4|     |     |     |     |     |     |     |     |
|  17.0-18.0   |      |   21|  322|  859|  716|  357|  131|   39|    6|    3|     |     |     |     |     |     |     |     |
|  18.0-19.0   |      |   48|  439|  856|  673|  289|   93|   22|    4|     |     |     |     |     |     |     |     |     |
|  19.0-20.0   |     5|  117|  537|  892|  573|  200|   83|   19|    5|    1|     |     |     |     |     |     |     |     |
|  20.0-21.0   |    29|  195|  698|  803|  519|  214|   73|    8|    7|     |     |     |     |     |     |     |     |     |
|  21.0-22.0   |    30|  284|  716|  770|  411|  150|   56|   15|    2|    1|     |     |     |     |     |     |     |     |
|  22.0-23.0   |    84|  374|  747|  680|  390|  119|   37|    9|    3|     |     |     |     |     |     |     |     |     |
|  23.0-24.0   |    90|  466|  816|  653|  297|   96|   32|    6|    4|     |     |     |     |     |     |     |     |     |
|  24.0-25.0   |   146|  532|  722|  571|  265|   90|   25|    6|    1|     |     |     |     |     |     |     |     |     |
|  25.0-26.0   |   195|  562|  710|  515|  227|   59|   16|    6|     |     |     |     |     |     |     |     |     |     |
|  26.0-27.0   |   183|  564|  610|  424|  188|   57|   18|    5|    1|     |     |     |     |     |     |     |     |     |
|  27.0-28.0   |   236|  532|  573|  387|  169|   40|    8|    6|    1|     |     |     |     |     |     |     |     |     |
|  28.0-29.0   |   165|  523|  535|  312|  132|   38|    4|    3|     |     |     |     |     |     |     |     |     |     |
|  29.0-30.0   |   223|  470|  432|  256|  109|   31|    8|    1|     |     |     |     |     |     |     |     |     |     |
| Above   30.0 |  1306| 3014| 2444| 1272|  447|  103|   20|    2|     |     |     |     |     |     |     |     |     |     |
|--------------|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
| Total        |  2704| 7757|10877|12941|14016|12372| 8551| 5057| 2814| 1662|  940|  535|  362|  237|  116|   84|   42|    6|
| dSig/dOmega  | 4e+02|4e+02|3e+02|3e+02|3e+02|2e+02|1e+02|7e+01|4e+01|2e+01|1e+01|    8|    6|    4|    3|    3|    2|  0.9|
=============================================================================================================================
|  0.0 -   5.0 |    12|   44|   95|  236|  934| 2138| 2800| 2273| 1658| 1173|  782|  462|  334|  220|  108|   82|   39|    6|
|  5.0 -  10.0 |      |     |     |  189| 2084| 4091| 3054| 1849|  876|  399|  141|   67|   26|   17|    8|    2|    3|     |
| 10.0 -  20.0 |     5|  197| 1779| 5873| 7844| 5146| 2400|  868|  261|   89|   17|    6|    2|     |     |     |     |     |
| Above   20.0 |  2687| 7516| 9003| 6643| 3154|  997|  297|   67|   19|    1|     |     |     |     |     |     |     |     |
=============================================================================================================================
