                                              file,     #event, size[MB], duration[s],       [min],      [hour]
                      ../root_data/gen_run001.root,    2121017,   189.56,    1443.820,      24.064,       0.401
                      ../root_data/gen_run003.root,    1129845,    98.09,    1446.425,      24.107,       0.402
                      ../root_data/gen_run004.root,      64511,     8.67,      95.202,       1.587,       0.026
                      ../root_data/gen_run005.root,     709824,    75.78,     999.745,      16.662,       0.278
                      ../root_data/gen_run006.root,     699648,    74.74,     958.561,      15.976,       0.266
                      ../root_data/gen_run007.root,     813101,    84.74,    1050.841,      17.514,       0.292
                      ../root_data/gen_run008.root,    1428994,   143.09,    2303.502,      38.392,       0.640
                      ../root_data/gen_run009.root,    1473266,   145.00,    2356.764,      39.279,       0.655
                      ../root_data/gen_run010.root,     912696,    93.78,    1574.490,      26.242,       0.437
                      ../root_data/gen_run011.root,       7232,     0.63,      68.929,       1.149,       0.019
                      ../root_data/gen_run012.root,    1731753,   158.62,    7146.283,     119.105,       1.985
                      ../root_data/gen_run013.root,    1985915,   176.99,    9126.600,     152.110,       2.535
                      ../root_data/gen_run015.root,     114881,    15.05,     378.773,       6.313,       0.105
                      ../root_data/gen_run016.root,    2330810,   200.87,    2544.709,      42.412,       0.707
                      ../root_data/gen_run017.root,    1899250,   165.85,    2518.054,      41.968,       0.699
                      ../root_data/gen_run018.root,    1041866,    86.28,    2303.156,      38.386,       0.640
                      ../root_data/gen_run019.root,    1508975,   123.37,    3902.154,      65.036,       1.084
                      ../root_data/gen_run020.root,     105423,    12.61,     262.236,       4.371,       0.073
                      ../root_data/gen_run021.root,     275289,    30.63,     193.345,       3.222,       0.054
                      ../root_data/gen_run022.root,     182503,    21.21,     230.448,       3.841,       0.064
                      ../root_data/gen_run023.root,    2988410,   222.62,    3866.904,      64.448,       1.074
                      ../root_data/gen_run024.root,    1664040,   129.64,    2193.187,      36.553,       0.609
                      ../root_data/gen_run025.root,    2970797,   223.15,    3225.552,      53.759,       0.896
                      ../root_data/gen_run026.root,    2963818,   222.41,    3223.988,      53.733,       0.896
                      ../root_data/gen_run027.root,    3074045,   229.30,    3365.055,      56.084,       0.935
