                                              file,     #event, size[MB],         start-TS,          stop-TS, duration[s],       [min],  [hour]
                      ../root_data/gen_run001.root,      30850,     1.34,      23782488476,      55299813952,     315.173,       5.253,       0.088
                      ../root_data/gen_run003.root,     152103,     6.73,      11038889518,     165134804392,    1540.959,      25.683,       0.428
                      ../root_data/gen_run004.root,     191080,     9.83,     207835013691,     401968501939,    1941.335,      32.356,       0.539
                      ../root_data/gen_run005.root,     753931,    38.59,     416219321354,    1177381480597,    7611.622,     126.860,       2.114
                      ../root_data/gen_run006.root,      20605,     1.05,    5931369848185,    5952072760137,     207.029,       3.450,       0.058
                      ../root_data/gen_run007.root,       5587,     0.21,    7480738393316,    7509648007747,     289.096,       4.818,       0.080
                      ../root_data/gen_run008.root,      18708,     0.69,    7521077734301,    7616670549386,     955.928,      15.932,       0.266
                      ../root_data/gen_run009.root,       7198,     0.17,    8322997743979,    8377436842906,     544.391,       9.073,       0.151
                      ../root_data/gen_run010.root,     151392,     4.17,   51970839096491,   52110976218197,    1401.371,      23.356,       0.389
                      ../root_data/gen_run011.root,     325849,    29.99,   53412799057176,   58085736159718,   46729.371,     778.823,      12.980
                      ../root_data/gen_run012.root,     149481,    19.55,   60167451646668,   61074809774140,    9073.581,     151.226,       2.520
                      ../root_data/gen_run013.root,     168002,    23.07,   61078638630964,   62166308818287,   10876.702,     181.278,       3.021
                      ../root_data/gen_run014.root,     191818,    26.33,   62169518032253,   63292709218127,   11231.912,     187.199,       3.120
                      ../root_data/gen_run015.root,     194353,    25.12,   63296030059642,   64319967316799,   10239.373,     170.656,       2.844
                      ../root_data/gen_run016.root,     168236,    23.30,   64324404477050,   65258206978455,    9338.025,     155.634,       2.594
                      ../root_data/gen_run017.root,     137047,    18.77,   65266927367046,   66005387152362,    7384.598,     123.077,       2.051
                      ../root_data/gen_run018.root,     234511,    26.39,   66008840795289,   66904612912298,    8957.721,     149.295,       2.488
                      ../root_data/gen_run019.root,     253844,    35.40,   67223089543461,   68417827161006,   11947.376,     199.123,       3.319
                      ../root_data/gen_run020.root,     295403,    38.02,   68421263800048,   69650732612800,   12294.688,     204.911,       3.415
                      ../root_data/gen_run021.root,     315186,    36.31,   69654334906388,   70814100279075,   11597.654,     193.294,       3.222
                      ../root_data/gen_run022.root,     299985,    33.38,   70821835353540,   71389567041618,    5677.317,      94.622,       1.577
                      ../root_data/gen_run023.root,     333318,    47.54,   71829480312558,   73192999710195,   13635.194,     227.253,       3.788
                      ../root_data/gen_run024.root,     531487,    59.60,   73196436375915,   74467333333868,   12708.970,     211.816,       3.530
                      ../root_data/gen_run025.root,     232776,    29.35,   74472177000888,   75599346796987,   11271.698,     187.862,       3.131
                      ../root_data/gen_run026.root,     240926,    30.99,   75602310689827,   76643492340827,   10411.817,     173.530,       2.892
                      ../root_data/gen_run027.root,     169721,    22.39,   76646104776604,   77386950674721,    7408.459,     123.474,       2.058
                      ../root_data/gen_run028.root,     197808,    27.11,   77572440061697,   78488862104226,    9164.220,     152.737,       2.546
                      ../root_data/gen_run029.root,     241841,    33.96,   78491374103422,   79664856918456,   11734.828,     195.580,       3.260
                      ../root_data/gen_run030.root,     260862,    32.32,   79667182214854,   80661258164530,    9940.759,     165.679,       2.761
                      ../root_data/gen_run031.root,     396375,    47.92,   80954677713381,   81869630357003,    9149.526,     152.492,       2.542
                      ../root_data/gen_run032.root,     124263,    17.42,   82159029136864,   82786483234555,    6274.541,     104.576,       1.743
                      ../root_data/gen_run033.root,     249481,    33.93,   83304713014258,   84499904227624,   11951.912,     199.199,       3.320
                      ../root_data/gen_run034.root,     127986,     6.67,   84564818709054,   85641939577817,   10771.209,     179.520,       2.992
                      ../root_data/gen_run035.root,     164774,     8.60,   85646007338445,   86914724721014,   12687.174,     211.453,       3.524
                      ../root_data/gen_run036.root,     151903,     8.22,   86919694977578,   88065139084628,   11454.441,     190.907,       3.182
                      ../root_data/gen_run037.root,      57033,     4.69,   88068294655100,   88242095953570,    1738.013,      28.967,       0.483
                      ../root_data/gen_run038.root,     187850,    10.19,   88559627348783,   89815760102755,   12561.328,     209.355,       3.489
                      ../root_data/gen_run039.root,     160708,     8.59,   89819612600454,   90900002877137,   10803.903,     180.065,       3.001
                      ../root_data/gen_run040.root,      92666,     4.82,   90912363022556,   91722544400420,    8101.814,     135.030,       2.251
