                                              file,     #event, size[MB], duration[s],       [min],      [hour]
                    ../root_data/trace_run007.root,     123462,  1397.10,     390.211,       6.504,       0.108
                    ../root_data/trace_run008.root,     877950,  9867.68,    4042.804,      67.380,       1.123
                    ../root_data/trace_run009.root,      66090,   718.59,     358.125,       5.969,       0.099
                    ../root_data/trace_run010.root,     808208,  9251.13,    3553.272,      59.221,       0.987
                    ../root_data/trace_run011.root,     692038,  7472.55,    3548.791,      59.147,       0.986
                    ../root_data/trace_run012.root,     749623,  8147.03,    3559.576,      59.326,       0.989
                    ../root_data/trace_run013.root,     467135,  5056.62,    2059.092,      34.318,       0.572
                    ../root_data/trace_run023.root,     436837, 17712.73,    3560.320,      59.339,       0.989
                    ../root_data/trace_run024.root,     101996,   705.91,    3397.576,      56.626,       0.944
                    ../root_data/trace_run025.root,     414864,  4293.76,    3600.000,      60.000,       1.000
                    ../root_data/trace_run026.root,     474650,  4636.88,    3553.157,      59.219,       0.987
                    ../root_data/trace_run027.root,     481733,  5088.70,    3551.480,      59.191,       0.987
                    ../root_data/trace_run028.root,     444476,  4499.79,    3471.491,      57.858,       0.964
                    ../root_data/trace_run029.root,     434661,  4318.04,    3516.192,      58.603,       0.977
                    ../root_data/trace_run030.root,     453491,  4419.78,    3600.428,      60.007,       1.000
                    ../root_data/trace_run031.root,     455451,  4542.37,    3599.591,      59.993,       1.000
                    ../root_data/trace_run032.root,     101119,   990.59,     835.667,      13.928,       0.232
                    ../root_data/trace_run033.root,     425997,  4178.40,    3514.892,      58.582,       0.976
                    ../root_data/trace_run034.root,     347027,  3422.44,    2980.054,      49.668,       0.828
                    ../root_data/trace_run035.root,      36158,   254.46,     209.407,       3.490,       0.058
                    ../root_data/trace_run036.root,     549363,  4297.88,    3014.426,      50.240,       0.837
                    ../root_data/trace_run040.root,     254181,  1705.13,    1174.041,      19.567,       0.326
                    ../root_data/trace_run041.root,     602562,  4171.92,    3111.681,      51.861,       0.864
                    ../root_data/trace_run042.root,     617734,  4231.03,    3583.901,      59.732,       0.996
                    ../root_data/trace_run043.root,     587503,  4249.73,    3573.079,      59.551,       0.993
